OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1894621,4092015703,Buffalo Brothers,4025-100 Lake Boone  Trail,RALEIGH,27607,+19197824949,2010-08-23,19738,-78.69718015,35.81549931,M
1894622,4092015836,TIJUANA FLATS #155,151 SE CARY  PKY ,RALEIGH,27511,+19194686328,2010-12-01,19779,-78.78164258,35.75804335,M
1894624,4092015808,PIZZA SHACK,5621 LOUISBURG RD ,RALEIGH,27616-5353,+19198725400,2010-11-19,19822,-78.55796888,35.85459972,M
1894626,4092016767,LENOVO BUILDING 7 CAFE,7001 DEVELOPMENT DRIVE,MORRISVILLE,27560,+19192378701,2014-09-26,19826,-78.87426823,35.86577034,M
1894627,4092015626,MCDONALDS #13824,101 TIMBER DR ,GARNER,27529,+19196629804,2010-04-27,19827,-78.60450265,35.68563177,M
1894628,4092018722,JM Apex #3028,922 US 64 HWY W ,APEX,27502,+19194673900,2021-10-13,19830,-78.82081015,35.74556916,M
1894629,4092014996,Village Deli #1,500 Daniels ST ,RALEIGH,27605,+19198281428,2007-10-25,19838,-78.66105804,35.79149603,M
1894630,4092016559,KING CHINESE BUFFET,1029 E BROAD ST ,FUQUAY VARINA,27526,+19195678989,2013-11-05,19845,-78.78267467,35.59365948,M
1894631,4092018227,Strike & Barrel,413 Brooks ST ,WAKE FOREST,27587,+19194884651,2019-11-13,19848,-78.50875816,35.97418866,M
1894632,4092017853,ONCE IN A BLUE MOON BAKERY AND CAFE,115 W CHATHAM ST,CARY,27511-3318,+19193196554,2018-05-30,19850,-78.78180095,35.78682557,M
1894633,4092018073,Budacai,120 E Martin ST ,RALEIGH,27601,+19198034005,2019-03-05,19857,-78.63713929,35.77657388,M
1894634,4092012051,La Rancherita,102 N SALEM ST ,APEX,27502-1428,+19193032448,1997-05-06,19883,-78.85126459,35.73076866,M
1894635,4092018209,VICINO'S PIZZA,962A Airport BLVD ,MORRISVILLE,27560,nan,2019-10-30,19876,-78.8212912,35.85834226,M
