"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"7D65F683-1422-201B-19F232CEDBCC2DC2","SOL AZTECA MEXICAN RESTAURANT","120 MORRISVILLE SQUARE WAY ","MORRISVILLE","NC","27560","","","19194657320"
"7D79F132-1422-201B-1964D2795310E9EF","IHOP #3181","1150 Beaver Creek Commons  Dr ","APEX","NC","27502","","","19193878147"
"7DF036C9-112A-688A-99171496017E35F7","Starbucks Coffee Co","204-200 Crossroads BLVD ","CARY","NC","27511","","","19192334905"
"7E09892F-D94F-4A13-86215360297FBD6A","VINNIE'S STEAK HOUSE &amp; TAVERN","7440 SIX FORKS RD ","RALEIGH","NC","27615","","","19198477319"
"7E119D52-1422-201B-19CAEAE6C7DCEE25","Zaxby's of Knightdale","6702 Knightdale  BLVD ","KNIGHTDALE","NC","27545","","","19192619995"
"7E1A2DC4-1422-201B-1985D4137B96BC6C","Arby's #6768","1500 E Williams ST ","APEX","NC","27502","","","19193630002"
"7EC8C3E3-B8C3-F3EE-1567112CB3FDE7FC","KIMBAP","111 SEABOARD AVE ","RALEIGH","NC","27604","","","19199008053"
"7EE78167-FF08-9383-B42A58F32B9B7CCB","Applebee's AG 352","6609 Knightdale BLVD ","KNIGHTDALE","NC","27545","","","19192717021"
"7EEBECD0-9C42-62D9-80D07EB7CCA42AC7","MCDONALDS #33850","601 CORPORATE CENTER DR ","RALEIGH","NC","27606","","","19192334144"
"7EEC2FBF-BDE9-8782-68F038AD54DA3D2F","THE GARDENS AT WAKEFIELD","12800 SPRUCE TREE  WAY ","RALEIGH","NC","27614","","","19195625580"
"7F140D50-5056-A20B-FAB08255A4125606","WHICH WICH #327","3301 VILLAGE MARKET  PL ","MORRISVILLE","NC","27560","","","19193809424"
"7F4CA6AA-DE99-248F-712B966A4FB01DA1","NOODLES AND COMPANY #857","8411 BRIER CREEK PKY ","RALEIGH","NC","27617","","","19198061330"
"7F58A75A-8238-13AF-D85913C4BEC55583","Sadlack's Heroes","2116 Hillsborough ST ","RALEIGH","NC","27607","","","19198289190"
"7F723FB1-FDB7-CB0C-22116B0F6EE94E3D","POPEYES #11378","1701 PINEWINDS DR ","RALEIGH","NC","27603","","","19193290069"
"7F81CAD4-1422-201B-194063B89CF6EA41","Yoho Asian Bistro","8204-106 Tryon Woods DR ","CARY","NC","27511","","","19198598081"
"7F884B08-E129-CF42-935B1A36A7699E68","LIME FRESH #6317","3305 VILLAGE MARKET  PL ","MORRISVILLE","NC","27560","","","19193808461"
"7F90C964-AAD8-3981-FC400C92262AAB9E","THE LATIN CORNER DELI &amp; BAKERY","10500 CHAPEL HILL RD ","MORRISVILLE","NC","27560","","","19196000870"
"7FC91CE2-1422-201B-198772EE5F649716","Subway #41914","841 E Gannon AVE ","ZEBULON","NC","27597","","","19192692699"
"802D7D04-5056-A20B-FA8999715ACC3ACE","SPRING ROLLS","5433-280 WADE PARK BLVD ","RALEIGH","NC","27607","","","19198031118"
"804535DC-5056-A20B-FAE47E91AD44594B","BIG APPLE BAGELS","1141 FALLS RIVER  AVE ","RALEIGH","NC","27614","","","19198031456"
"804AC9B6-B42E-6311-B5E41F735E5B20EC","SMITHFIELD'S CHICKEN N BAR-B-QUE","4000 JONES SAUSAGE RD ","GARNER","NC","27529","","","19197790095"
"80746F50-E5CA-C76E-E09A13C42B0F2F88","Residence Inn by Marriott Foodservice","2900 Regency PKY","CARY","NC","27518","","","19194674080"
"808376CD-CE8F-89A2-9D890C429A85E3AD","CHICK-FIL-A #00585","400 FAYETTEVILLE ST ","RALEIGH","NC","27601","","","19198343875"
"808AEDF8-AB59-6915-1B5F10ACDFD03F2A","BJ's Membership Club #177 Food Court","6301 Triangle Plantation DR ","RALEIGH","NC","27616","","","19192781000"
"812578E2-13D4-D73C-EC0E12792E47A294","Coquette","4381-119 Lassiter At North Hills AVE ","RALEIGH","NC","27609-5731","","","19197890606"
"81688DF7-5056-A20B-FA896E2DBC212959","DUNKIN DONUTS #306810","3209  S WILMINGTON ST ","RALEIGH","NC","27603","","","19196617377"
"816AF65B-D6FD-22C4-2F71643CD152FACE","Maui Wowi","919 N. Harrison Avenue","CARY","NC","27513","","","19193789107"
"817E2F7B-5322-1469-E56F75490BB37BEF","Fiesta Mexicana Restaurante","14460 New Falls Of Neuse Rd","RALEIGH","NC","27614","","","19194531266"
"81B23E79-0129-72D8-68DDAA44DC137787","HIBACHI GRILL &amp; SUPREME BUFFET","3131 CAPITAL BLVD ","RALEIGH","NC","27604","","","19198785888"
"81BD82BD-ED6E-F516-953B5A03D4E0F1DA","SEQIRUS CAFETERIA","475 GREEN OAKS PKY ","HOLLY SPRINGS","NC","27540","","","19195575000"
"81D000F3-FA8F-738D-0E8733E63249AA2D","Firehouse Subs #917","1303 N MAIN ST ","FUQUAY-VARINA","NC","27526","","","19197625328"
"81F7A1A1-BA07-6A25-89B77578F8EEA69F","QDOBA MEXICAN GRILL #612","210A HINTON OAKS BLVD ","KNIGHTDALE","NC","27545","","","19192174690"
"81FEA57E-B44D-A76B-76C75D033F4F4DA8","LOS TRES MAGUEYES","10410 MONCREIFFE  RD ","RALEIGH","NC","27610","","","19194849258"
"8205B9FC-C1F2-6B56-34650C9E9C39E89A","THE GRAND MARQUISE BALLROOM","225  NEW FIDELITY  CT ","GARNER","NC","27529","","","111111111919"
"821984F5-5056-A20B-FAE0FFA6D5A4E9B9","MCDONALDS #33850","601 CORPORATE CENTER DR ","RALEIGH","NC","27606","","","19192334144"
"822E0342-5056-A20B-FAE64912FED41C4C","DUNKIN DONUTS BASKIN ROBBINS #344346 ","3570 DAVIS DR ","MORRISVILLE","NC","27560","","","19194694788"
"824DBEFA-CE9B-5D1A-3639B845E317C81E","Red Snapper Grill","409 W. Gannon Avenue","ZEBULON","NC","27597","","","19193755005"
"82784854-E38F-72FE-0340A2D76315084F","Wendy's #10543","181 GRAND HILL PL ","HOLLY SPRINGS","NC","27540","","","19195776162"
"82A1C07D-E825-0282-DC1AB51E690FC4B3","Lucky Chicken II","1851 N. Harrison Avenue","CARY","NC","27513","","","19196783153"
"8334C411-15A0-1497-9928AA005B3081EC","Starbucks Coffee #9364","2840 NC HWY 55","CARY","NC","27519","","","19193873482"
"8378618D-B2EF-2689-30161F1FDDA2D2D8","BELLA MIA","2025 RENAISSANCE PARK PL ","CARY","NC","27513","","","19196773999"
"83F69080-5056-A20B-FA47E8EA52725A68","DUNKIN DONUTS BASKIN ROBBINS #350706","10030 GREEN LEVEL CHURCH  RD ","CARY","NC","27519","","","19194814477"
"8412D927-DB92-F65C-948D10386DDAE78C","MCDONALDS (Walmart)","10050 GLENWOOD AVE ","RALEIGH","NC","27617","","","19199578404"
"8466448A-5056-A20B-FAB2E8CC22CC9662","MCDONALDS #11523","1805 N HARRISON AVE","CARY","NC","27513-3902","","",""
"846BAAC1-D6E5-CC32-D51D6162B94A375C","Oryx","510 Glenwood AVE ","RALEIGH","NC","27605","","","19198038910"
"84A0BA1C-1422-201B-194B241A91592F21","Hampton Inn &amp; Suites Foodservice","111 Hampton Woods LN ","RALEIGH","NC","27607","","","19192331798"
"84D22DE6-B0E8-F40C-630E13DA8D19CCF9","ACME PIZZA CO","204 Village Walk DR ","HOLLY SPRINGS","NC","27540","","","19195528800"
